matchId,teamId,playerId,number,tries,metresGained,carries,defendersBeaten,cleanBreaks,passes,offloads,turnoversConceded,tryAssists,points,tackles,missedTackles,turnoversWon,kicksInPlay,conversions,penaltyGoals,dropGoals,throwsWon,lineoutsWon,lineoutSteals,penaltiesConceded,redCards,yellowCards
933875,150,32171,11,1,98,10,5,3,9,2,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0
933875,150,33500,15,0,94,11,3,2,5,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0
933875,150,34524,4,0,11,13,1,0,5,0,3,0,0,11,1,0,0,0,0,0,0,3,0,0,0,0
933875,150,34987,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
933875,200,11105,23,0,12,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
933875,200,17035,7,0,24,9,2,0,6,1,0,0,0,11,2,1,0,0,0,0,0,0,0,1,0,0
933875,200,18993,18,0,22,4,0,1,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
933875,200,19820,4,0,16,7,0,0,9,0,2,0,0,7,0,2,0,0,0,0,0,6,0,1,0,0
933875,200,20724,12,0,31,8,2,1,6,2,0,2,0,7,1,1,0,0,0,0,0,0,0,0,0,0
933875,200,22275,9,1,34,3,0,0,84,0,0,0,5,6,4,0,4,0,0,0,0,0,0,1,0,0
933875,200,22344,2,0,14,4,0,0,3,1,2,0,0,12,1,0,0,0,0,0,6,0,0,1,0,0
933875,200,23615,5,0,7,4,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
933875,200,23701,13,0,16,6,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
933875,200,24051,19,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
933875,200,26896,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933875,200,27705,6,0,1,6,0,0,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
933875,200,27768,16,0,4,4,0,0,1,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0
933875,200,31305,15,0,3,4,0,0,8,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0
933875,200,31824,3,0,3,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
933875,200,32086,10,0,41,5,0,0,13,1,0,0,10,6,2,0,3,2,2,0,0,0,0,0,0,0
